month,tx_count,eth_moved,gas_spent_eth,failed
2026-04,12,35.000095,8.9e-05,0
2026-03,38,0.006355,0.000592,11
2026-02,48,0.0247,0.000444,5
2026-01,73,1.016083,0.004545,2
2025-12,132,0.004091,0.00247,3
2025-11,57,1006.022042,0.000854,1
2025-10,113,50.10896,0.002939,8
2025-09,27,0.005532,0.001846,1
